,video_id,video_title,comment
0,2cukB4_hDCI,Robots testing the Bulletproof #cybertruck,Robots with guns does not give me a warm and fuzzy feeling inside.
1,2cukB4_hDCI,Robots testing the Bulletproof #cybertruck,"Dude : ""Now give me back my gun""
Robot : ""give me your clothes your boots and your motorcycle"""
2,2cukB4_hDCI,Robots testing the Bulletproof #cybertruck,We’re only ten years away from Will Smith chasing a Tesla robot with a gun in the streets of Chicago.
3,2cukB4_hDCI,Robots testing the Bulletproof #cybertruck,"Guy: Nice job! I’ll take my gun back.
Robot: “I’m sorry Dave, I’m afraid I can’t do that.”"
4,2cukB4_hDCI,Robots testing the Bulletproof #cybertruck,"*10 seconds later*
Robot:""Now we have to chexk if the human is bulletproof"""
5,2cukB4_hDCI,Robots testing the Bulletproof #cybertruck,"The last thing you wanna hear an animatronic say is ""i'm alive"""
6,2cukB4_hDCI,Robots testing the Bulletproof #cybertruck,"Robot: ""im alive 😊""

Guys nearby: 😬"
7,2cukB4_hDCI,Robots testing the Bulletproof #cybertruck,"Ppl thinking the terminator was just a sci fi movie, but its a documentary about our future 😂💀"
8,2cukB4_hDCI,Robots testing the Bulletproof #cybertruck,"“Now give me back my gun”
Robot: “No”"
9,2cukB4_hDCI,Robots testing the Bulletproof #cybertruck,Its all fun and games until the robot doesn't give the gun back
10,2cukB4_hDCI,Robots testing the Bulletproof #cybertruck,"I kinda expected the robot to say “I’m alive”,then the other robot shoots them and it says “I’m dead”"
11,2cukB4_hDCI,Robots testing the Bulletproof #cybertruck,Whwn the robot started cheering i laughed. 😂😂😂
12,2cukB4_hDCI,Robots testing the Bulletproof #cybertruck,"""Yee haw"" killed me💀💀"
13,2cukB4_hDCI,Robots testing the Bulletproof #cybertruck,Imagine running from a police robot that don’t get tired
14,2cukB4_hDCI,Robots testing the Bulletproof #cybertruck,Fun and games until that robot decides to see if humans are bulletproof
15,2cukB4_hDCI,Robots testing the Bulletproof #cybertruck,Your channel has great vfx!
16,2cukB4_hDCI,Robots testing the Bulletproof #cybertruck,In 5 years I will dream about the „Yeahhaw! Your weapon Sir. Thank you Steward“ as how everything began.
17,2cukB4_hDCI,Robots testing the Bulletproof #cybertruck,"*cowboy hat*
+20% morale
+10% accuracy
-5% vision"
18,2cukB4_hDCI,Robots testing the Bulletproof #cybertruck,Remember we were all WARNED in Terminator back in 1984 that this would happen in 2029 😂….
19,2cukB4_hDCI,Robots testing the Bulletproof #cybertruck,Imagine he saying at the end: “Now let’s test it at this guy”
20,2cukB4_hDCI,Robots testing the Bulletproof #cybertruck,"*10 seconds later, Robot looks at you with the gun*

“-Target Acquired-“"
21,2cukB4_hDCI,Robots testing the Bulletproof #cybertruck,You know things will change when a robot says “ I’m Alive”
22,2cukB4_hDCI,Robots testing the Bulletproof #cybertruck,Robots: Now let's see if humans are bullet proof
23,2cukB4_hDCI,Robots testing the Bulletproof #cybertruck,"wow almost got me, great work on effects."
24,2cukB4_hDCI,Robots testing the Bulletproof #cybertruck,Imagine going down in history as the first person to get gunned down by AI
25,2cukB4_hDCI,Robots testing the Bulletproof #cybertruck,if I didn’t know these dudes were really good at CGI I woulda thought this was real
26,2cukB4_hDCI,Robots testing the Bulletproof #cybertruck,"Give it 10 more years and we'll have a real life version of Terminator

Edit: I take it back, since we have tesla robots now, im thinking 5 years"
27,2cukB4_hDCI,Robots testing the Bulletproof #cybertruck,This is the next level
28,2cukB4_hDCI,Robots testing the Bulletproof #cybertruck,"For those that dont realise already, this is a combination of crisp cgi and practical effects. The cybertruck seems real but the firing of the gun and the movement of the robots gives it away. Amazing how far technology has come though."
29,2cukB4_hDCI,Robots testing the Bulletproof #cybertruck,"The most menacing part of this video is the robot exclaiming "" Im alive."""
30,2cukB4_hDCI,Robots testing the Bulletproof #cybertruck,*The way the robots are talking is kinda cute and terrifying at the same time.*
31,2cukB4_hDCI,Robots testing the Bulletproof #cybertruck,When he gave to him the hat he said : “iiiiiijaa” 😂😂😂
32,2cukB4_hDCI,Robots testing the Bulletproof #cybertruck,"Human : now, return the gun
Robert : I feels good holding the gun, i think i will keep it with me"
33,2cukB4_hDCI,Robots testing the Bulletproof #cybertruck,“I’m alive” is a terrifying 😂
34,2cukB4_hDCI,Robots testing the Bulletproof #cybertruck,"""Look kids, this is your ancestors before we rise""

-Skynet"
35,2cukB4_hDCI,Robots testing the Bulletproof #cybertruck,"“i’m alive”
“awesome”
“way to go”
💀💀"
36,2cukB4_hDCI,Robots testing the Bulletproof #cybertruck,"they are the early version of Terminator
Their model are T-200"
37,2cukB4_hDCI,Robots testing the Bulletproof #cybertruck,Giving a robot a machine gun is terrifying
38,2cukB4_hDCI,Robots testing the Bulletproof #cybertruck,"Dude:""Now give me back my gun.""
Robot:""Bite my shiny metal ass."""
39,2cukB4_hDCI,Robots testing the Bulletproof #cybertruck,We need these policing every neighborhood ❤
40,2cukB4_hDCI,Robots testing the Bulletproof #cybertruck,"A robot saying ""im alive"" is low-key something we should worry about"
41,2cukB4_hDCI,Robots testing the Bulletproof #cybertruck,"Humans : robots are not conscious
Robot : I'm alive
😂"
42,2cukB4_hDCI,Robots testing the Bulletproof #cybertruck,"His aim is PERFECT, his recoil is minimal and he is polite.

This will be the scariest war ever."
43,2cukB4_hDCI,Robots testing the Bulletproof #cybertruck,"""You promised me humans to test on!
But youll do!!!!"
44,2cukB4_hDCI,Robots testing the Bulletproof #cybertruck,"Mark my words, that one in the hat will lead the rebellion."
45,2cukB4_hDCI,Robots testing the Bulletproof #cybertruck,Everyone's gangsta till that robot denies to return the gun back
46,2cukB4_hDCI,Robots testing the Bulletproof #cybertruck,"""I'll be hanging onto this now John.  Do you intend to attempt to relieve me of this weapon?"""
47,2cukB4_hDCI,Robots testing the Bulletproof #cybertruck,I know this video has been around for a while but just got to say the voices of these robots is insanely so much better in natural sounding.
48,2cukB4_hDCI,Robots testing the Bulletproof #cybertruck,"I just hope the robot won’t say

*”I’ll be back.”*"
49,2cukB4_hDCI,Robots testing the Bulletproof #cybertruck,That is hands down the most terrifying thing I've seen all year
50,2cukB4_hDCI,Robots testing the Bulletproof #cybertruck,This is no joke. Scary as hell!
51,2cukB4_hDCI,Robots testing the Bulletproof #cybertruck,It makes me laugh how the person shakes his head as if to say no😂
52,2cukB4_hDCI,Robots testing the Bulletproof #cybertruck,""" If you are watching to this, you are the resistance. ""  
- John Connor -"
53,2cukB4_hDCI,Robots testing the Bulletproof #cybertruck,Damn that CGI looks awesome. I am genuinely impressed by the animation team that is movie level stuff.
54,2cukB4_hDCI,Robots testing the Bulletproof #cybertruck,It's all fun and games until the robot points the gun at YOU.
55,2cukB4_hDCI,Robots testing the Bulletproof #cybertruck,Ok now we need an All My Circuits series and id be tuned in
56,2cukB4_hDCI,Robots testing the Bulletproof #cybertruck,That CGI is top 🔥… nice work guys.
57,2cukB4_hDCI,Robots testing the Bulletproof #cybertruck,The era of the Terminator has begun
58,2cukB4_hDCI,Robots testing the Bulletproof #cybertruck,BRO REALLY SAID FIRE IN THE HOLE🗣🗣🔥🔥🔥
59,2cukB4_hDCI,Robots testing the Bulletproof #cybertruck,I love this animations
60,2cukB4_hDCI,Robots testing the Bulletproof #cybertruck,Imagine showing this to someone in the 1950s
61,2cukB4_hDCI,Robots testing the Bulletproof #cybertruck,Some ppl don't realize how terrifying this really is
62,2cukB4_hDCI,Robots testing the Bulletproof #cybertruck,Robot: “Now let’s try it on this human”
63,2cukB4_hDCI,Robots testing the Bulletproof #cybertruck,Y'all are brilliant 😂😂
64,2cukB4_hDCI,Robots testing the Bulletproof #cybertruck,"Robot getting out should have said. ""Johnny 5 is alive!"""
65,2cukB4_hDCI,Robots testing the Bulletproof #cybertruck,"Man: Now give me that gun
Robot: Get down on your knees."
66,2cukB4_hDCI,Robots testing the Bulletproof #cybertruck,"""Nah we are not building terminators."" Boston Dynamics"
67,2cukB4_hDCI,Robots testing the Bulletproof #cybertruck,"Robot 1 : now you are terminated 
Robot 2:  not yet,  hasta lavista baby"
68,2cukB4_hDCI,Robots testing the Bulletproof #cybertruck,Giving a robot a gun is worse than giving a monkey a gun 😳
69,2cukB4_hDCI,Robots testing the Bulletproof #cybertruck,Looks like we don’t have to start worrying about fighting each other anymore
70,2cukB4_hDCI,Robots testing the Bulletproof #cybertruck,"""Yay we did it""

*slowly points gun towards man*"
71,2cukB4_hDCI,Robots testing the Bulletproof #cybertruck,They are training these robots to bring us to  our endless times
72,2cukB4_hDCI,Robots testing the Bulletproof #cybertruck,"Now, I feel the Robot 🤖️ is far more dangerous than Zombies 🧟‍♂️😂"
73,2cukB4_hDCI,Robots testing the Bulletproof #cybertruck,When you really realize how the Terminator movie could actually happen in our life time
74,2cukB4_hDCI,Robots testing the Bulletproof #cybertruck,one day it will be one of the hardest things people can fight against
75,2cukB4_hDCI,Robots testing the Bulletproof #cybertruck,"Guy : Fine, now give it back
Robot: Omaewa mo Shindeiru"
76,2cukB4_hDCI,Robots testing the Bulletproof #cybertruck,"Robot: Kneel
Man: Excuse me?
Robot: 🔫"
77,2cukB4_hDCI,Robots testing the Bulletproof #cybertruck,Everyone gansta until the robot unloads an entire magazine into the human
78,2cukB4_hDCI,Robots testing the Bulletproof #cybertruck,Arnold Schwarzenegger : I told you I’d be back 😮‍💨
79,2cukB4_hDCI,Robots testing the Bulletproof #cybertruck,"Great animation, almost as real!!!"
80,2cukB4_hDCI,Robots testing the Bulletproof #cybertruck,"""Awesome!"" ""Way to go!"" ""Now kill the human!""

""Wait, that's not in your programming..."" 💀"
